Year,"CT County Subdivisions,Year",Town,"Kindergarteners with PreK Experience, Percent"
2009,"9,001,508,602,009",New Fairfield,91.48
2004,"9,013,720,902,004",Stafford,89.5
2006,"9,009,696,402,006",Southbury,93.5
2011,"9,011,234,002,011",East Lyme,92.4
2007,"9,015,360,002,007",Hampton,100
2004,"9,001,730,702,004",Stamford,73.8
2010,"9,011,570,402,010",Old Lyme,80.5
2011,"9,003,248,002,011",East Windsor,97.83
2007,"9,003,370,702,007",Hartford,67.5
2011,"9,015,218,602,011",Eastford,82.61
2007,"9,003,371,402,007",Hartland,81.8
2010,"9,007,573,202,010",Old Saybrook,92.4
2011,"9,001,238,902,011",Easton,96.3
2007,"9,005,372,802,007",Harwinton,89.9
2010,"9,009,576,002,010",Orange,92.6
2007,"9,013,379,102,007",Hebron,97.1
2011,"9,013,253,602,011",Ellington,75.88
2011,"9,003,259,902,011",Enfield,64.61
2007,"9,005,402,902,007",Kent,90.6
2010,"9,009,583,002,010",Oxford,94.4
2011,"9,007,262,702,011",Essex,96.43
2007,"9,015,405,002,007",Killingly,72.9
2011,"9,001,266,202,011",Fairfield,94.02
2007,"9,007,407,102,007",Killingworth,93.3
2010,"9,015,599,802,010",Plainfield,63.9
2011,"9,003,276,002,011",Farmington,86.4
2007,"9,011,423,902,007",Lebanon,87.8
2007,"9,011,426,002,007",Ledyard,78.5
2010,"9,003,601,202,010",Plainville,85.1
2011,"9,009,622,902,011",Prospect,98.4
2007,"9,011,432,302,007",Lisbon,91.9
2010,"9,003,870,002,010",Windsor,82.7
2007,"9,005,433,702,007",Litchfield,77.2
2011,"9,015,627,102,011",Putnam,48.42
2007,"9,011,442,102,007",Lyme,94
2011,"9,001,634,802,011",Redding,93.81
2010,"9,005,607,502,010",Plymouth,88.6
2007,"9,009,445,602,007",Madison,94.7
2010,"9,015,610,302,010",Pomfret,88.6
2011,"9,001,639,702,011",Ridgefield,84.94
2007,"9,003,447,002,007",Manchester,66.7
2007,"9,013,449,102,007",Mansfield,79.7
2011,"9,003,653,702,011",Rocky Hill,87.18
2010,"9,007,618,002,010",Portland,97.2
2007,"9,003,458,202,007",Marlborough,79.8
2011,"9,005,659,302,011",Roxbury,95.65
2007,"9,009,465,202,007",Meriden,81.6
2010,"9,011,621,502,010",Preston,31.4
2007,"9,009,469,402,007",Middlebury,92.7
2011,"9,003,312,402,011",Glastonbury,92.35
2007,"9,007,470,802,007",Middlefield,93.4
2011,"9,005,322,902,011",Goshen,95.16
2007,"9,007,473,602,007",Middletown,83
2011,"9,003,326,402,011",Granby,93.64
2007,"9,009,475,352,007",Milford,82
2011,"9,001,336,202,011",Greenwich,92.66
2010,"9,009,622,902,010",Prospect,92
2007,"9,001,486,202,007",Monroe,91.4
2011,"9,011,339,002,011",Griswold,90.24
2007,"9,011,489,002,007",Montville,74.9
2011,"9,011,342,502,011",Groton,78.78
2007,"9,005,494,602,007",Morris,87.1
2010,"9,015,627,102,010",Putnam,71.3
2011,"9,009,349,502,011",Guilford,88.3
2007,"9,009,499,502,007",Naugatuck,77.1
2011,"9,007,352,302,011",Haddam,90.05
2007,"9,003,504,402,007",New Britain,63.8
2011,"9,009,356,502,011",Hamden,83.37
2010,"9,001,634,802,010",Redding,95.6
2007,"9,001,505,802,007",New Canaan,99.3
2011,"9,015,360,002,011",Hampton,100
2007,"9,001,508,602,007",New Fairfield,90.1
2011,"9,003,370,702,011",Hartford,74.05
2007,"9,005,513,502,007",New Hartford,88.5
2011,"9,003,371,402,011",Hartland,77.27
2010,"9,001,639,702,010",Ridgefield,92.2
2007,"9,009,520,702,007",New Haven,65.2
2010,"9,003,653,702,010",Rocky Hill,89.1
2011,"9,005,372,802,011",Harwinton,89.53
2007,"9,011,523,502,007",New London,59
2011,"9,013,379,102,011",Hebron,93.75
2007,"9,005,526,302,007",New Milford,76.2
2011,"9,005,402,902,011",Kent,87.88
2010,"9,005,659,302,010",Roxbury,95.8
2007,"9,003,521,402,007",Newington,81.3
2003,"9,009,195,502,003",Derby,60.4
2005,"9,013,720,902,005",Stafford,73.3
2009,"9,005,513,502,009",New Hartford,96.43
2008,"9,011,159,102,008",Colchester,83.1
2005,"9,005,879,102,005",Woodbury,89.8
2008,"9,003,689,402,008",Simsbury,93.1
2007,"9,001,529,802,007",Newtown,88.1
2010,"9,011,299,102,010",Franklin,94.1
2003,"9,007,208,102,003",Durham,62.8
2005,"9,001,730,702,005",Stamford,80.3
2009,"9,009,520,702,009",New Haven,71.5
2010,"9,011,662,102,010",Salem,83.3
2008,"9,005,160,502,008",Colebrook,85.7
2005,"9,015,881,902,005",Woodstock,68.5
2008,"9,013,692,202,008",Somers,96
2007,"9,005,534,702,007",Norfolk,88.9
2010,"9,003,312,402,010",Glastonbury,92.1
2003,"9,003,220,702,003",East Granby,89.7
2005,"9,015,734,202,005",Sterling,92.7
2009,"9,011,523,502,009",New London,65.29
2008,"9,013,164,002,008",Columbia,85.5
2006,"9,013,010,802,006",Andover,88.2
2008,"9,003,713,902,008",South Windsor,75.8
2007,"9,009,538,902,007",North Branford,95
2010,"9,005,322,902,010",Goshen,87.9
2003,"9,007,222,802,003",East Haddam,75.4
2005,"9,011,737,702,005",Stonington,64.6
2009,"9,005,526,302,009",New Milford,74.25
2008,"92,008",Connecticut,79.2
2006,"9,009,012,202,006",Ansonia,49
2008,"9,009,696,402,008",Southbury,93.6
2007,"9,005,540,302,007",North Canaan,36.8
2003,"9,007,224,902,003",East Hampton,89.4
2010,"9,003,326,402,010",Granby,90.1
2005,"9,001,741,902,005",Stratford,80.2
2003,"9,007,191,302,003",Deep River,89.6
2008,"9,005,172,402,008",Cornwall,93.3
2006,"9,015,014,302,006",Ashford,86.5
2008,"9,003,705,502,008",Southington,81.3
2007,"9,009,548,702,007",North Haven,85.6
2009,"9,003,521,402,009",Newington,83.65
2003,"9,003,226,302,003",East Hartford,48.6
2010,"9,001,336,202,010",Greenwich,96.3
2005,"9,003,745,402,005",Suffield,79.9
2009,"9,001,529,802,009",Newtown,93.13
2008,"9,013,178,002,008",Coventry,65.6
2006,"9,003,020,602,006",Avon,85.4
2008,"9,011,716,702,008",Sprague,88.6
2007,"9,011,555,002,007",North Stonington,87.5
2003,"9,009,229,102,003",East Haven,73.1
2005,"9,005,757,302,005",Thomaston,72.3
2009,"9,005,534,702,009",Norfolk,100
2010,"9,011,342,502,010",Groton,59.4
2008,"9,007,180,802,008",Cromwell,77.4
2006,"9,005,027,602,006",Barkhamsted,88
2008,"9,013,720,902,008",Stafford,96.7
2007,"9,001,560,602,007",Norwalk,85.1
2003,"9,011,234,002,003",East Lyme,85.6
2010,"9,005,664,202,010",Salisbury,86.8
2005,"9,015,758,702,005",Thompson,73.3
2009,"9,009,538,902,009",North Branford,95.81
2008,"9,001,185,002,008",Danbury,65.2
2006,"9,009,032,502,006",Beacon Falls,93
2008,"9,001,730,702,008",Stamford,87.3
2007,"9,011,562,702,007",Norwich,79.3
2003,"9,003,248,002,003",East Windsor,84.8
2010,"9,009,349,502,010",Guilford,89.9
2005,"9,013,762,902,005",Tolland,58.2
2009,"9,005,540,302,009",North Canaan,80
2008,"9,001,188,502,008",Darien,99.2
2006,"9,003,043,002,006",Berlin,89.6
2008,"9,015,734,202,008",Sterling,83.3
2007,"9,011,570,402,007",Old Lyme,94
2003,"9,007,153,502,003",Clinton,71.6
2010,"9,009,676,102,010",Seymour,82.4
2005,"9,005,765,702,005",Torrington,78.4
2009,"9,009,548,702,009",North Haven,90.2
2010,"9,011,339,002,010",Griswold,88.7
2003,"9,015,218,602,003",Eastford,66.7
2006,"9,009,045,802,006",Bethany,85
2008,"9,011,737,702,008",Stonington,82.2
2007,"9,007,573,202,007",Old Saybrook,94.8
2003,"9,001,238,902,003",Easton,100
2008,"9,007,191,302,008",Deep River,57.8
2005,"9,001,772,002,005",Trumbull,86.4
2009,"9,011,555,002,009",North Stonington,92.06
2010,"9,009,356,502,010",Hamden,79.5
2008,"9,009,195,502,008",Derby,69.2
2006,"9,001,047,202,006",Bethel,92.4
2008,"9,001,741,902,008",Stratford,69.3
2007,"9,009,576,002,007",Orange,97.6
2010,"9,005,679,602,010",Sharon,69.2
2003,"9,013,253,602,003",Ellington,80.5
2005,"9,013,778,302,005",Union,100
2009,"9,001,560,602,009",Norwalk,84.97
2010,"9,003,870,702,010",Windsor Locks,59.5
2008,"9,007,208,102,008",Durham,86.3
2006,"9,005,049,302,006",Bethlehem,78.9
2008,"9,003,745,402,008",Suffield,90.8
2007,"9,009,583,002,007",Oxford,94.5
2003,"9,003,259,902,003",Enfield,71.2
2010,"9,015,360,002,010",Hampton,88.2
2005,"9,013,782,502,005",Vernon,79.2
2009,"9,011,562,702,009",Norwich,72.47
2010,"9,015,674,002,010",Scotland,94.1
2008,"9,003,220,702,008",East Granby,96.6
2006,"9,003,059,102,006",Bloomfield,88.5
2008,"9,005,757,302,008",Thomaston,79.5
2007,"9,015,599,802,007",Plainfield,65.8
2010,"9,001,681,702,010",Shelton,91.3
2003,"9,007,262,702,003",Essex,81.4
2005,"9,011,786,002,005",Voluntown,96.7
2009,"9,011,570,402,009",Old Lyme,96.61
2010,"9,005,879,102,010",Woodbury,87
2008,"9,007,222,802,008",East Haddam,72.1
2006,"9,013,062,602,006",Bolton,98.2
2008,"9,015,758,702,008",Thompson,71.4
2007,"9,003,601,202,007",Plainville,76.4
2003,"9,001,266,202,003",Fairfield,92.7
2010,"9,007,352,302,010",Haddam,90.3
2005,"9,009,787,402,005",Wallingford,81.3
2009,"9,007,573,202,009",Old Saybrook,93.94
2008,"9,007,224,902,008",East Hampton,91
2006,"9,011,068,202,006",Bozrah,60.7
2008,"9,013,762,902,008",Tolland,71.1
2007,"9,005,607,502,007",Plymouth,81.6
2003,"9,003,276,002,003",Farmington,90.8
2010,"9,003,370,702,010",Hartford,58.4
2005,"9,005,795,102,005",Warren,88.3
2009,"9,009,576,002,009",Orange,100
2010,"9,001,683,102,010",Sherman,84.2
2008,"9,003,226,302,008",East Hartford,63.1
2006,"9,009,073,102,006",Branford,87.5
2008,"9,005,765,702,008",Torrington,76.4
2007,"9,015,610,302,007",Pomfret,80.9
2003,"9,011,299,102,003",Franklin,78.9
2010,"9,003,689,402,010",Simsbury,93.7
2005,"9,005,797,202,005",Washington,90.5
2009,"9,009,583,002,009",Oxford,89.66
2008,"9,009,229,102,008",East Haven,68
2006,"9,001,080,702,006",Bridgeport,66.1
2008,"9,001,772,002,008",Trumbull,93.8
2007,"9,007,618,002,007",Portland,92.3
2003,"9,003,312,402,003",Glastonbury,89.4
2010,"9,003,371,402,010",Hartland,96.7
2005,"9,009,800,702,005",Waterbury,56.9
2009,"9,015,599,802,009",Plainfield,79.43
2010,"9,005,372,802,010",Harwinton,85.6
2008,"9,011,234,002,008",East Lyme,88.7
2006,"9,005,082,102,006",Bridgewater,91.1
2008,"9,013,778,302,008",Union,90.9
2007,"9,011,621,502,007",Preston,72.7
2010,"9,013,692,202,010",Somers,88.2
2003,"9,005,322,902,003",Goshen,89
2005,"9,011,802,802,005",Waterford,83.7
2003,"9,007,143,002,003",Chester,93.5
2008,"9,003,248,002,008",East Windsor,90.8
2006,"9,003,084,902,006",Bristol,87.5
2008,"9,013,782,502,008",Vernon,73.5
2007,"9,009,622,902,007",Prospect,83.2
2009,"9,003,601,202,009",Plainville,92.02
2003,"9,003,326,402,003",Granby,90.3
2005,"9,005,804,902,005",Watertown,81.6
2009,"9,005,607,502,009",Plymouth,93.16
2008,"9,015,218,602,008",Eastford,54.5
2006,"9,001,089,802,006",Brookfield,94.3
2008,"9,011,786,002,008",Voluntown,92
2007,"9,015,627,102,007",Putnam,67.8
2010,"9,013,379,102,010",Hebron,92.5
2003,"9,001,336,202,003",Greenwich,91.7
2010,"9,003,713,902,010",South Windsor,70.2
2005,"9,003,825,902,005",West Hartford,81.5
2009,"9,015,610,302,009",Pomfret,88.14
2008,"9,001,238,902,008",Easton,99.2
2006,"9,015,091,902,006",Brooklyn,86.2
2008,"9,009,787,402,008",Wallingford,83
2007,"9,001,634,802,007",Redding,98.5
2003,"9,011,339,002,003",Griswold,76.8
2010,"9,005,402,902,010",Kent,100
2005,"9,009,828,702,005",West Haven,69.3
2009,"9,007,618,002,009",Portland,95.1
2010,"9,015,405,002,010",Killingly,64.6
2008,"9,013,253,602,008",Ellington,68.9
2006,"9,003,101,002,006",Burlington,90.9
2008,"9,005,795,102,008",Warren,76.6
2007,"9,001,639,702,007",Ridgefield,88.3
2010,"9,009,696,402,010",Southbury,94.1
2003,"9,011,342,502,003",Groton,69.4
2005,"9,007,816,802,005",Westbrook,92.1
2009,"9,011,621,502,009",Preston,50.98
2008,"9,003,259,902,008",Enfield,68.2
2006,"9,005,109,402,006",Canaan,37.5
2008,"9,005,797,202,008",Washington,92.9
2007,"9,003,653,702,007",Rocky Hill,95
2003,"9,009,349,502,003",Guilford,91.9
2005,"9,001,834,302,005",Weston,96.7
2009,"9,009,622,902,009",Prospect,92.38
2008,"9,007,262,702,008",Essex,96.1
2006,"9,015,121,302,006",Canterbury,68.4
2008,"9,009,800,702,008",Waterbury,64.8
2007,"9,005,659,302,007",Roxbury,94
2010,"9,007,407,102,010",Killingworth,90.3
2003,"9,007,352,302,003",Haddam,90.8
2010,"9,005,540,302,010",North Canaan,74.4
2005,"9,001,835,002,005",Westport,100
2009,"9,015,627,102,009",Putnam,79.38
2008,"9,001,266,202,008",Fairfield,95.2
2006,"9,003,122,702,006",Canton,96.6
2008,"9,011,802,802,008",Waterford,81.4
2007,"9,011,662,102,007",Salem,72.5
2003,"9,009,356,502,003",Hamden,61.9
2010,"9,011,423,902,010",Lebanon,89.9
2005,"9,003,849,002,005",Wethersfield,82.5
2009,"9,001,634,802,009",Redding,99.09
2010,"9,011,426,002,010",Ledyard,80.6
2008,"9,003,276,002,008",Farmington,94.4
2006,"9,015,138,102,006",Chaplin,76.2
2008,"9,005,804,902,008",Watertown,82
2007,"9,005,664,202,007",Salisbury,82.8
2010,"9,011,716,702,010",Sprague,72.7
2003,"9,015,360,002,003",Hampton,81.8
2005,"9,013,859,502,005",Willington,78.8
2009,"9,001,639,702,009",Ridgefield,88.55
2008,"9,011,299,102,008",Franklin,83.3
2006,"9,009,141,602,006",Cheshire,96.6
2008,"9,003,825,902,008",West Hartford,88.9
2007,"9,015,674,002,007",Scotland,88
2003,"9,003,370,702,003",Hartford,50.8
2005,"9,001,863,702,005",Wilton,99.7
2009,"9,003,653,702,009",Rocky Hill,81.62
2008,"9,003,312,402,008",Glastonbury,96.3
2006,"9,007,143,002,006",Chester,91.9
2008,"9,009,828,702,008",West Haven,74.3
2007,"9,009,676,102,007",Seymour,74.6
2010,"9,011,432,302,010",Lisbon,82.9
2003,"9,003,371,402,003",Hartland,72.2
2010,"9,001,730,702,010",Stamford,79.3
2005,"9,005,864,402,005",Winchester,69.2
2009,"9,005,659,302,009",Roxbury,86.96
2008,"9,005,322,902,008",Goshen,76.6
2006,"9,007,153,502,006",Clinton,73.1
2008,"9,007,816,802,008",Westbrook,80.7
2007,"9,005,679,602,007",Sharon,30.8
2003,"9,005,372,802,003",Harwinton,85.7
2010,"9,005,433,702,010",Litchfield,84.4
2005,"9,015,867,902,005",Windham,76.1
2009,"9,011,662,102,009",Salem,88.64
2010,"9,011,442,102,010",Lyme,80.5
2008,"9,003,326,402,008",Granby,96.6
2006,"9,011,159,102,006",Colchester,55.6
2008,"9,001,834,302,008",Weston,97.9
2007,"9,001,681,702,007",Shelton,87.1
2003,"9,013,379,102,003",Hebron,98.2
2005,"9,003,870,002,005",Windsor,83.6
2009,"9,005,664,202,009",Salisbury,100
2010,"9,013,720,902,010",Stafford,90.1
2008,"9,001,336,202,008",Greenwich,94.2
2006,"9,005,160,502,006",Colebrook,58.3
2008,"9,001,835,002,008",Westport,90.8
2007,"9,001,683,102,007",Sherman,93.6
2003,"9,005,402,902,003",Kent,82.8
2010,"9,011,737,702,010",Stonington,77.8
2005,"9,003,870,702,005",Windsor Locks,72
2009,"9,015,674,002,009",Scotland,84.21
2008,"9,011,339,002,008",Griswold,82.8
2006,"9,013,164,002,006",Columbia,90
2008,"9,003,849,002,008",Wethersfield,92.9
2007,"9,003,689,402,007",Simsbury,92.1
2010,"9,009,445,602,010",Madison,95.2
2003,"9,015,405,002,003",Killingly,61.7
2005,"9,009,875,602,005",Wolcott,77.1
2003,"9,009,141,602,003",Cheshire,92.2
2008,"9,011,342,502,008",Groton,59.9
2006,"92,006",Connecticut,79.1
2008,"9,013,859,502,008",Willington,86
2007,"9,013,692,202,007",Somers,88.6
2009,"9,009,676,102,009",Seymour,80.47
2003,"9,007,407,102,003",Killingworth,90.8
2010,"9,003,447,002,010",Manchester,72.4
2005,"9,009,877,002,005",Woodbridge,95.7
2009,"9,005,679,602,009",Sharon,90.48
2010,"9,015,734,202,010",Sterling,79.5
2008,"9,009,349,502,008",Guilford,73.1
2008,"9,001,863,702,008",Wilton,99.4
2010,"9,003,705,502,010",Southington,77.9
2003,"9,011,562,702,003",Norwich,79.2
2010,"9,001,741,902,010",Stratford,68.1
2006,"9,005,172,402,006",Cornwall,91.7
2004,"9,015,734,202,004",Sterling,100
2010,"9,013,449,102,010",Mansfield,81.7
2003,"9,011,423,902,003",Lebanon,58.3
2006,"9,003,705,502,006",Southington,83.7
2003,"9,011,570,402,003",Old Lyme,88.3
2006,"9,013,178,002,006",Coventry,62.4
2004,"9,011,737,702,004",Stonington,65.3
2003,"9,011,426,002,003",Ledyard,78.4
2006,"9,011,716,702,006",Sprague,64.3
2003,"9,007,573,202,003",Old Saybrook,77.5
2006,"9,007,180,802,006",Cromwell,89.6
2004,"9,001,741,902,004",Stratford,73.3
2010,"9,003,458,202,010",Marlborough,82.7
2003,"9,011,432,302,003",Lisbon,91.1
2006,"9,013,720,902,006",Stafford,82.2
2003,"9,009,576,002,003",Orange,94.4
2010,"9,009,465,202,010",Meriden,76.7
2006,"9,001,185,002,006",Danbury,73.7
2004,"9,003,745,402,004",Suffield,84.9
2003,"9,005,433,702,003",Litchfield,59
2006,"9,001,730,702,006",Stamford,80.8
2003,"9,009,583,002,003",Oxford,91.9
2006,"9,001,188,502,006",Darien,98
2004,"9,005,757,302,004",Thomaston,63.6
2010,"9,009,469,402,010",Middlebury,94.1
2003,"9,011,442,102,003",Lyme,88.3
2006,"9,015,734,202,006",Sterling,100
2003,"9,015,599,802,003",Plainfield,69.2
2006,"9,007,191,302,006",Deep River,41.7
2004,"9,015,758,702,004",Thompson,76.8
2003,"9,009,445,602,003",Madison,94.8
2006,"9,011,737,702,006",Stonington,79.3
2003,"9,003,601,202,003",Plainville,80.3
2010,"9,005,534,702,010",Norfolk,100
2006,"9,009,195,502,006",Derby,61.9
2003,"9,003,059,102,003",Bloomfield,86.7
2003,"9,003,447,002,003",Manchester,60.2
2010,"9,007,470,802,010",Middlefield,93.2
2004,"9,013,762,902,004",Tolland,58.3
2003,"9,005,607,502,003",Plymouth,84.1
2006,"9,007,208,102,006",Durham,80.1
2004,"9,005,765,702,004",Torrington,78
2006,"9,001,741,902,006",Stratford,69.2
2003,"9,013,449,102,003",Mansfield,76.2
2006,"9,003,745,402,006",Suffield,85.4
2003,"9,015,610,302,003",Pomfret,90.4
2006,"9,003,220,702,006",East Granby,95.3
2004,"9,001,772,002,004",Trumbull,88.8
2010,"9,007,473,602,010",Middletown,85.2
2003,"9,003,458,202,003",Marlborough,86.7
2006,"9,005,757,302,006",Thomaston,55
2003,"9,007,618,002,003",Portland,85.7
2006,"9,007,222,802,006",East Haddam,72.6
2004,"9,013,778,302,004",Union,77.8
2003,"9,009,465,202,003",Meriden,78
2010,"9,009,475,352,010",Milford,82.8
2003,"9,005,049,302,003",Bethlehem,86.4
2006,"9,015,758,702,006",Thompson,80.3
2003,"9,011,621,502,003",Preston,81.1
2006,"9,007,224,902,006",East Hampton,86.3
2004,"9,013,782,502,004",Vernon,79.7
2003,"9,009,469,402,003",Middlebury,81
2010,"9,001,486,202,010",Monroe,92.7
2006,"9,013,762,902,006",Tolland,68.1
2003,"9,009,622,902,003",Prospect,85
2003,"9,001,080,702,003",Bridgeport,61.1
2003,"9,001,047,202,003",Bethel,79.8
2003,"9,007,470,802,003",Middlefield,62.8
2006,"9,003,226,302,006",East Hartford,57.4
2004,"9,011,786,002,004",Voluntown,84.6
2003,"9,015,627,102,003",Putnam,64.2
2006,"9,009,229,102,006",East Haven,71.7
2010,"9,011,489,002,010",Montville,71.2
2004,"9,009,787,402,004",Wallingford,83.6
2006,"9,005,765,702,006",Torrington,77.4
2003,"9,009,045,802,003",Bethany,90
2006,"9,001,772,002,006",Trumbull,86.4
2003,"9,001,634,802,003",Redding,91.8
2003,"9,007,473,602,003",Middletown,82.3
2006,"9,011,234,002,006",East Lyme,83.6
2004,"9,005,795,102,004",Warren,84.1
2010,"9,005,494,602,010",Morris,87.9
2003,"9,009,475,352,003",Milford,87.7
2006,"9,013,778,302,006",Union,87.5
2003,"9,003,043,002,003",Berlin,97.9
2006,"9,003,248,002,006",East Windsor,77.8
2004,"9,005,797,202,004",Washington,88.3
2003,"9,001,639,702,003",Ridgefield,89.7
2003,"9,001,486,202,003",Monroe,87.4
2006,"9,013,782,502,006",Vernon,88.2
2003,"9,003,653,702,003",Rocky Hill,73.6
2003,"9,009,032,502,003",Beacon Falls,85
