Year,"CT County Subdivisions,Year",Town,"Kindergarteners with PreK Experience, Percent"
2004,"9,009,800,702,004",Waterbury,51.2
2010,"9,003,504,402,010",New Britain,80.3
2003,"9,011,489,002,003",Montville,71.3
2006,"9,015,218,602,006",Eastford,50
2006,"9,011,786,002,006",Voluntown,87
2003,"9,005,659,302,003",Roxbury,88.2
2006,"9,001,238,902,006",Easton,94.3
2004,"9,011,802,802,004",Waterford,85
2010,"9,001,505,802,010",New Canaan,96.5
2003,"9,005,494,602,003",Morris,89
2010,"9,009,499,502,010",Naugatuck,77.4
2006,"9,009,787,402,006",Wallingford,87
2003,"9,011,662,102,003",Salem,87.3
2006,"9,013,253,602,006",Ellington,81.8
2004,"9,005,804,902,004",Watertown,98.7
2010,"9,001,508,602,010",New Fairfield,94.1
2003,"9,009,499,502,003",Naugatuck,67.9
2006,"9,005,795,102,006",Warren,86.2
2003,"9,005,664,202,003",Salisbury,59.4
2006,"9,003,259,902,006",Enfield,76.8
2004,"9,003,825,902,004",West Hartford,85.6
2010,"9,005,513,502,010",New Hartford,90.5
2003,"9,005,027,602,003",Barkhamsted,82.4
2006,"9,005,797,202,006",Washington,91.1
2003,"9,015,674,002,003",Scotland,71.4
2003,"9,003,504,402,003",New Britain,47
2006,"9,007,262,702,006",Essex,95.6
2004,"9,009,828,702,004",West Haven,71.9
2010,"9,009,520,702,010",New Haven,73.9
2003,"9,001,505,802,003",New Canaan,99.3
2006,"9,009,800,702,006",Waterbury,63.6
2003,"9,009,676,102,003",Seymour,78.8
2006,"9,001,266,202,006",Fairfield,95.3
2004,"9,007,816,802,004",Westbrook,89.1
2010,"9,011,523,502,010",New London,71.6
2003,"9,001,508,602,003",New Fairfield,77.9
2006,"9,011,802,802,006",Waterford,76.9
2003,"9,005,679,602,003",Sharon,59.1
2006,"9,003,276,002,006",Farmington,92.6
2004,"9,001,834,302,004",Weston,98.4
2010,"9,005,526,302,010",New Milford,79.5
2003,"9,005,513,502,003",New Hartford,89.5
2003,"9,009,073,102,003",Branford,83.6
2003,"9,001,681,702,003",Shelton,86.7
2006,"9,011,299,102,006",Franklin,87
2004,"9,001,835,002,004",Westport,98.6
2006,"9,005,804,902,006",Watertown,65
2003,"9,009,520,702,003",New Haven,71.2
2006,"9,003,825,902,006",West Hartford,84
2003,"9,001,683,102,003",Sherman,92.5
2006,"9,003,312,402,006",Glastonbury,95.2
2004,"9,003,849,002,004",Wethersfield,80
2011,"9,001,681,702,011",Shelton,86.12
2003,"9,011,523,502,003",New London,55.8
2006,"9,009,828,702,006",West Haven,71.7
2003,"9,003,689,402,003",Simsbury,95.7
2006,"9,005,322,902,006",Goshen,86.2
2004,"9,013,859,502,004",Willington,81
2011,"9,001,683,102,011",Sherman,75.86
2003,"9,005,526,302,003",New Milford,62.8
2010,"9,003,521,402,010",Newington,85.6
2006,"9,007,816,802,006",Westbrook,89.4
2003,"9,013,692,202,003",Somers,92.7
2006,"9,003,326,402,006",Granby,93.1
2004,"9,001,863,702,004",Wilton,99.1
2011,"9,003,689,402,011",Simsbury,91.74
2003,"9,003,521,402,003",Newington,78
2010,"9,001,529,802,010",Newtown,96.9
2003,"9,011,068,202,003",Bozrah,65
2003,"9,003,713,902,003",South Windsor,88.7
2006,"9,001,336,202,006",Greenwich,95.2
2004,"9,005,864,402,004",Winchester,79.2
2006,"9,001,834,302,006",Weston,98.9
2003,"9,001,529,802,003",Newtown,73.6
2003,"9,003,020,602,003",Avon,86.8
2003,"9,009,696,402,003",Southbury,81
2006,"9,011,339,002,006",Griswold,80.8
2004,"9,015,867,902,004",Windham,75.2
2006,"9,001,835,002,006",Westport,91.5
2003,"9,005,534,702,003",Norfolk,100
2006,"9,003,849,002,006",Wethersfield,84.6
2003,"9,003,705,502,003",Southington,80
2006,"9,011,342,502,006",Groton,63.5
2004,"9,003,870,002,004",Windsor,93.8
2011,"9,003,713,902,011",South Windsor,79.92
2003,"9,013,062,602,003",Bolton,81
2003,"9,015,014,302,003",Ashford,47.9
2003,"9,011,716,702,003",Sprague,55.6
2003,"9,009,538,902,003",North Branford,90.6
2006,"9,009,349,502,006",Guilford,87.8
2004,"9,003,870,702,004",Windsor Locks,69
2006,"9,013,859,502,006",Willington,73.3
2003,"9,005,540,302,003",North Canaan,64.9
2011,"9,013,692,202,011",Somers,96
2006,"9,001,863,702,006",Wilton,99.1
2003,"9,009,012,202,003",Ansonia,70.3
2006,"9,007,352,302,006",Haddam,97.6
2004,"9,009,875,602,004",Wolcott,84.1
2003,"9,013,720,902,003",Stafford,91.4
2003,"9,009,548,702,003",North Haven,89
2006,"9,005,864,402,006",Winchester,74.4
2003,"9,001,730,702,003",Stamford,76
2006,"9,009,356,502,006",Hamden,73.6
2004,"9,009,877,002,004",Woodbridge,91.2
2011,"9,011,716,702,011",Sprague,85.37
2003,"9,011,555,002,003",North Stonington,77
2011,"9,009,696,402,011",Southbury,93.85
2006,"9,015,867,902,006",Windham,71.1
2003,"9,015,734,202,003",Sterling,81.6
2006,"9,015,360,002,006",Hampton,100
2004,"9,005,879,102,004",Woodbury,84.4
2011,"9,013,720,902,011",Stafford,87.1
2003,"9,001,560,602,003",Norwalk,88.4
2011,"9,003,705,502,011",Southington,80.54
2003,"9,013,010,802,003",Andover,78
2006,"9,003,870,002,006",Windsor,86.3
2003,"9,011,737,702,003",Stonington,68.5
2006,"9,003,370,702,006",Hartford,75.4
2004,"9,015,881,902,004",Woodstock,70.9
2011,"9,001,730,702,011",Stamford,73.34
2006,"9,003,870,702,006",Windsor Locks,51.1
2010,"9,003,745,402,010",Suffield,88
2003,"9,001,741,902,003",Stratford,65.8
2012,"9,007,180,802,012",Cromwell,92.96
2011,"9,011,737,702,011",Stonington,79.35
2011,"9,015,405,002,011",Killingly,74.24
2011,"9,015,734,202,011",Sterling,65.38
2012,"9,001,185,002,012",Danbury,74.17
2006,"9,009,875,602,006",Wolcott,79.5
2003,"9,007,180,802,003",Cromwell,85.5
2012,"9,011,716,702,012",Sprague,68.57
2011,"9,001,741,902,011",Stratford,80.93
2003,"9,003,745,402,003",Suffield,87.8
2012,"9,001,188,502,012",Darien,96.38
2006,"9,009,877,002,006",Woodbridge,18.6
2003,"9,005,757,302,003",Thomaston,68.9
2011,"9,007,407,102,011",Killingworth,90.05
2008,"9,005,864,402,008",Winchester,79.4
2010,"9,005,757,302,010",Thomaston,87.9
2011,"9,003,745,402,011",Suffield,89.74
2008,"9,015,867,902,008",Windham,83.9
2012,"9,007,191,302,012",Deep River,94.55
2006,"9,005,879,102,006",Woodbury,78.9
2003,"9,015,758,702,003",Thompson,84.6
2011,"9,011,423,902,011",Lebanon,95.71
2010,"9,015,758,702,010",Thompson,50.5
2008,"9,003,870,002,008",Windsor,81.6
2012,"9,009,195,502,012",Derby,56.8
2011,"9,005,757,302,011",Thomaston,58.11
2003,"9,013,762,902,003",Tolland,58.4
2011,"9,011,426,002,011",Ledyard,72.84
2012,"9,013,720,902,012",Stafford,81.95
2011,"9,015,758,702,011",Thompson,44.83
2006,"9,015,881,902,006",Woodstock,80.5
2012,"9,007,208,102,012",Durham,90.1
2007,"9,013,010,802,007",Andover,69.4
2003,"9,005,765,702,003",Torrington,75.4
2011,"9,011,432,302,011",Lisbon,87.8
2008,"9,003,870,702,008",Windsor Locks,69
2012,"9,001,730,702,012",Stamford,75.16
2007,"9,009,012,202,007",Ansonia,62
2008,"9,009,875,602,008",Wolcott,83.9
2011,"9,013,762,902,011",Tolland,55.73
2010,"9,013,762,902,010",Tolland,60.7
2012,"9,003,220,702,012",East Granby,88.24
2008,"9,009,877,002,008",Woodbridge,94.4
2003,"9,001,772,002,003",Trumbull,86.8
2011,"9,005,433,702,011",Litchfield,75
2012,"9,015,734,202,012",Sterling,70.27
2007,"9,015,014,302,007",Ashford,94.3
2011,"9,011,442,102,011",Lyme,95.05
2011,"9,005,765,702,011",Torrington,80.46
2012,"9,007,222,802,012",East Haddam,76
2008,"9,005,879,102,008",Woodbury,82.9
2003,"9,013,778,302,003",Union,75
2012,"9,003,745,402,012",Suffield,86.96
2012,"9,011,737,702,012",Stonington,85.62
2007,"9,003,020,602,007",Avon,81.6
2010,"9,005,765,702,010",Torrington,75
2011,"9,001,772,002,011",Trumbull,89.88
2012,"9,007,224,902,012",East Hampton,85.44
2008,"9,015,881,902,008",Woodstock,88.5
2011,"9,003,447,002,011",Manchester,61.79
2011,"9,009,445,602,011",Madison,96.3
2012,"9,001,741,902,012",Stratford,78.85
2007,"9,005,027,602,007",Barkhamsted,94.2
2003,"9,013,782,502,003",Vernon,74.7
2011,"9,013,778,302,011",Union,100
2012,"9,003,226,302,012",East Hartford,68.24
2009,"9,013,010,802,009",Andover,76.19
2011,"9,013,449,102,011",Mansfield,81.2
2010,"9,001,772,002,010",Trumbull,93.7
2007,"9,009,032,502,007",Beacon Falls,83.2
2003,"9,011,786,002,003",Voluntown,88.9
2011,"9,013,782,502,011",Vernon,75.39
2012,"9,009,229,102,012",East Haven,69.46
2009,"9,009,012,202,009",Ansonia,64.29
2003,"9,009,787,402,003",Wallingford,90
2012,"9,013,762,902,012",Tolland,92.98
2010,"9,013,778,302,010",Union,100
2012,"9,005,757,302,012",Thomaston,88.57
2007,"9,003,043,002,007",Berlin,88.2
2011,"9,003,458,202,011",Marlborough,91.76
2011,"9,011,786,002,011",Voluntown,84.38
2012,"9,011,234,002,012",East Lyme,85.52
2009,"9,015,014,302,009",Ashford,91.67
2011,"9,009,465,202,011",Meriden,77.03
2012,"9,005,765,702,012",Torrington,69.51
2012,"9,015,758,702,012",Thompson,43.42
2007,"9,009,045,802,007",Bethany,94.3
2003,"9,005,795,102,003",Warren,89
2011,"9,009,787,402,011",Wallingford,76.65
2012,"9,003,248,002,012",East Windsor,53
2009,"9,003,020,602,009",Avon,84.72
2003,"9,005,797,202,003",Washington,88.2
2010,"9,013,782,502,010",Vernon,78.3
2007,"9,001,047,202,007",Bethel,87.2
2011,"9,009,469,402,011",Middlebury,93.85
2011,"9,005,795,102,011",Warren,95.16
2012,"9,015,218,602,012",Eastford,92.31
2009,"9,005,027,602,009",Barkhamsted,91.23
2003,"9,009,800,702,003",Waterbury,49.3
2010,"9,011,786,002,010",Voluntown,100
2007,"9,005,049,302,007",Bethlehem,89.5
2011,"9,007,470,802,011",Middlefield,89.6
2011,"9,005,797,202,011",Washington,95.65
2012,"9,001,238,902,012",Easton,96.67
2009,"9,009,032,502,009",Beacon Falls,92.38
2003,"9,011,802,802,003",Waterford,75.4
2012,"9,013,782,502,012",Vernon,60.42
2012,"9,001,772,002,012",Trumbull,93
2007,"9,003,059,102,007",Bloomfield,83.5
2011,"9,007,473,602,011",Middletown,83.13
2010,"9,009,787,402,010",Wallingford,90.5
2012,"9,013,253,602,012",Ellington,73.66
2009,"9,003,043,002,009",Berlin,94.44
2003,"9,005,804,902,003",Watertown,74.8
2011,"9,011,662,102,011",Salem,52.94
2007,"9,013,062,602,007",Bolton,83.3
2012,"9,009,787,402,012",Wallingford,77.9
2011,"9,011,802,802,011",Waterford,83.33
2011,"9,009,800,702,011",Waterbury,62.52
2012,"9,003,259,902,012",Enfield,71.47
2009,"9,009,045,802,009",Bethany,90.14
2003,"9,003,825,902,003",West Hartford,85.3
2011,"9,005,664,202,011",Salisbury,80
2012,"9,011,786,002,012",Voluntown,91.18
2011,"9,005,804,902,011",Watertown,93.3
2012,"9,007,262,702,012",Essex,95.83
2007,"9,011,068,202,007",Bozrah,80.8
2003,"9,009,828,702,003",West Haven,68.6
2012,"9,005,795,102,012",Warren,85.29
2010,"9,005,795,102,010",Warren,87.9
2007,"9,009,073,102,007",Branford,85.7
2009,"9,001,047,202,009",Bethel,75.59
2011,"9,003,825,902,011",West Hartford,91.69
2012,"9,001,266,202,012",Fairfield,95.63
2009,"9,005,049,302,009",Bethlehem,0
2011,"9,015,674,002,011",Scotland,100
2012,"9,005,797,202,012",Washington,92.16
2010,"9,005,797,202,010",Washington,95.8
2007,"9,001,080,702,007",Bridgeport,65.5
2003,"9,007,816,802,003",Westbrook,83.5
2011,"9,009,828,702,011",West Haven,58.96
2012,"9,003,276,002,012",Farmington,85.38
2009,"9,003,059,102,009",Bloomfield,88.55
2003,"9,001,834,302,003",Weston,97.5
2012,"9,009,800,702,012",Waterbury,67.08
2007,"9,005,082,102,007",Bridgewater,94
2012,"9,011,802,802,012",Waterford,88.7
2011,"9,007,816,802,011",Westbrook,81.82
2011,"9,009,676,102,011",Seymour,67.43
2009,"9,013,062,602,009",Bolton,58.33
2003,"9,001,835,002,003",Westport,98.2
2010,"9,009,800,702,010",Waterbury,65.6
2012,"9,011,299,102,012",Franklin,93.33
2007,"9,003,084,902,007",Bristol,86.2
2012,"9,005,804,902,012",Watertown,86.36
2011,"9,001,834,302,011",Weston,98.74
2012,"9,003,312,402,012",Glastonbury,87.17
2009,"9,011,068,202,009",Bozrah,68.18
2003,"9,003,849,002,003",Wethersfield,78
2010,"9,011,802,802,010",Waterford,85.3
2012,"9,003,825,902,012",West Hartford,89.7
2011,"9,001,835,002,011",Westport,96.17
2011,"9,005,679,602,011",Sharon,78.26
2007,"9,001,089,802,007",Brookfield,96.2
2003,"9,013,859,502,003",Willington,92.2
2012,"9,005,322,902,012",Goshen,85.29
2007,"9,015,091,902,007",Brooklyn,87.5
2009,"9,009,073,102,009",Branford,89.91
2010,"9,005,804,902,010",Watertown,82.8
2012,"9,003,326,402,012",Granby,90.99
2009,"9,001,080,702,009",Bridgeport,66.91
2003,"9,001,863,702,003",Wilton,99.7
2011,"9,003,849,002,011",Wethersfield,83.61
2007,"9,003,101,002,007",Burlington,89.9
2012,"9,007,816,802,012",Westbrook,75
2011,"9,013,859,502,011",Willington,82.35
2012,"9,001,336,202,012",Greenwich,95.92
2009,"9,005,082,102,009",Bridgewater,86.96
2010,"9,003,825,902,010",West Hartford,89.7
2010,"9,013,010,802,010",Andover,93.3
2003,"9,005,864,402,003",Winchester,79.7
2011,"9,001,863,702,011",Wilton,98.63
2012,"9,011,339,002,012",Griswold,92.81
2007,"9,005,109,402,007",Canaan,77.8
2003,"9,015,867,902,003",Windham,69.8
2012,"9,001,834,302,012",Weston,98.77
2012,"9,009,828,702,012",West Haven,62.17
2007,"9,015,121,302,007",Canterbury,70.9
2009,"9,003,084,902,009",Bristol,86.42
2011,"9,005,864,402,011",Winchester,78.41
2012,"9,011,342,502,012",Groton,82.93
2009,"9,001,089,802,009",Brookfield,81.15
2003,"9,003,870,002,003",Windsor,78.3
2012,"9,001,835,002,012",Westport,98.31
2010,"9,009,012,202,010",Ansonia,92.5
2010,"9,009,828,702,010",West Haven,62.6
2007,"9,003,122,702,007",Canton,91.5
2012,"9,003,849,002,012",Wethersfield,84.06
2011,"9,015,867,902,011",Windham,77.12
2012,"9,009,349,502,012",Guilford,86.67
2009,"9,015,091,902,009",Brooklyn,96.25
2003,"9,003,870,702,003",Windsor Locks,72.9
2007,"9,015,138,102,007",Chaplin,76.2
2010,"9,007,816,802,010",Westbrook,72.1
2011,"9,003,870,002,011",Windsor,87.24
2012,"9,007,352,302,012",Haddam,95.78
2009,"9,003,101,002,009",Burlington,0
2010,"9,001,834,302,010",Weston,100
2012,"9,013,859,502,012",Willington,77.08
2010,"9,015,014,302,010",Ashford,90.3
2007,"9,009,141,602,007",Cheshire,99.1
2003,"9,009,875,602,003",Wolcott,81.9
2011,"9,003,870,702,011",Windsor Locks,48.91
2012,"9,009,356,502,012",Hamden,84.74
2009,"9,005,109,402,009",Canaan,66.67
2003,"9,009,877,002,003",Woodbridge,85
2012,"9,001,863,702,012",Wilton,98.91
2007,"9,007,143,002,007",Chester,95.3
2012,"9,005,864,402,012",Winchester,84.15
2011,"9,009,875,602,011",Wolcott,79.04
2012,"9,015,360,002,012",Hampton,78.57
2009,"9,015,121,302,009",Canterbury,85.25
2003,"9,005,879,102,003",Woodbury,86.4
2010,"9,001,835,002,010",Westport,98.4
2010,"9,003,020,602,010",Avon,84.5
2007,"9,007,153,502,007",Clinton,72.1
2012,"9,015,867,902,012",Windham,81
2011,"9,009,877,002,011",Woodbridge,80
2012,"9,003,370,702,012",Hartford,60.08
2009,"9,003,122,702,009",Canton,85.93
2003,"9,015,881,902,003",Woodstock,74.3
2003,"9,013,178,002,003",Coventry,67.9
2010,"9,003,849,002,010",Wethersfield,84.6
2012,"9,003,870,002,012",Windsor,77.72
2010,"9,005,027,602,010",Barkhamsted,71.4
2012,"9,003,371,402,012",Hartland,89.47
2007,"9,011,159,102,007",Colchester,82.3
2004,"9,013,010,802,004",Andover,64.8
2011,"9,005,879,102,011",Woodbury,85.83
2009,"9,009,141,602,009",Cheshire,95.33
2009,"9,015,138,102,009",Chaplin,95.45
2011,"9,015,881,902,011",Woodstock,73.2
2012,"9,005,372,802,012",Harwinton,88.39
2007,"9,005,160,502,007",Colebrook,78.6
2004,"9,009,012,202,004",Ansonia,73.9
2012,"9,003,870,702,012",Windsor Locks,68.64
2012,"9,009,875,602,012",Wolcott,84.96
2009,"9,007,143,002,009",Chester,96.88
2009,"9,001,681,702,009",Shelton,85.71
2008,"9,007,352,302,008",Haddam,95.3
2010,"9,009,032,502,010",Beacon Falls,92
2004,"9,015,014,302,004",Ashford,80.6
2010,"9,015,881,902,010",Woodstock,88.6
2012,"9,013,379,102,012",Hebron,96.64
2009,"9,007,153,502,009",Clinton,96.08
2005,"9,013,010,802,005",Andover,80.5
2009,"9,001,683,102,009",Sherman,93.55
2008,"9,009,356,502,008",Hamden,80.6
2004,"9,003,020,602,004",Avon,91
2011,"9,013,010,802,011",Andover,92.86
2009,"9,011,159,102,009",Colchester,93.07
2005,"9,009,012,202,005",Ansonia,45.1
2009,"9,003,689,402,009",Simsbury,93.45
2008,"9,015,360,002,008",Hampton,73.7
2012,"9,005,402,902,012",Kent,87.5
2004,"9,005,027,602,004",Barkhamsted,85
2010,"9,003,043,002,010",Berlin,95
2012,"9,015,405,002,012",Killingly,83.33
2009,"9,005,160,502,009",Colebrook,81.25
2005,"9,015,014,302,005",Ashford,83
2009,"9,013,692,202,009",Somers,90.63
2008,"9,003,370,702,008",Hartford,34.2
2004,"9,009,032,502,004",Beacon Falls,94.4
2010,"9,009,875,602,010",Wolcott,81.9
2012,"9,007,407,102,012",Killingworth,95.78
2009,"9,013,164,002,009",Columbia,84
2005,"9,003,020,602,005",Avon,87
2009,"9,003,713,902,009",South Windsor,74.91
2010,"9,009,877,002,010",Woodbridge,83.2
2003,"92,003",Connecticut,75.9
2004,"9,003,043,002,004",Berlin,92.4
2010,"9,009,045,802,010",Bethany,96.5
2008,"9,003,371,402,008",Hartland,86.4
2009,"92,009",Connecticut,79.7
2005,"9,005,027,602,005",Barkhamsted,83.1
2009,"9,009,696,402,009",Southbury,0
2008,"9,005,372,802,008",Harwinton,91.8
2012,"9,011,423,902,012",Lebanon,78.87
2004,"9,009,045,802,004",Bethany,87.3
2010,"9,009,548,702,010",North Haven,90.1
2010,"9,001,047,202,010",Bethel,82.4
2009,"9,005,172,402,009",Cornwall,66.67
2005,"9,009,032,502,005",Beacon Falls,83.1
2009,"9,003,705,502,009",Southington,87.6
2008,"9,013,379,102,008",Hebron,94.5
2012,"9,011,426,002,012",Ledyard,77.59
2004,"9,001,047,202,004",Bethel,84.9
2012,"9,011,432,302,012",Lisbon,100
2009,"9,013,178,002,009",Coventry,76.3
2005,"9,003,043,002,005",Berlin,92.7
2009,"9,011,716,702,009",Sprague,77.5
2008,"9,005,402,902,008",Kent,76.9
2010,"9,005,049,302,010",Bethlehem,87
2004,"9,005,049,302,004",Bethlehem,84.4
2012,"9,005,433,702,012",Litchfield,89.19
2009,"9,007,180,802,009",Cromwell,87.58
2005,"9,009,045,802,005",Bethany,84.6
2009,"9,013,720,902,009",Stafford,96.69
2008,"9,015,405,002,008",Killingly,69.2
2004,"9,003,059,102,004",Bloomfield,79.9
2011,"9,009,012,202,011",Ansonia,80.39
2010,"9,003,059,102,010",Bloomfield,88.7
2012,"9,011,442,102,012",Lyme,95.18
2009,"9,001,185,002,009",Danbury,69.38
2005,"9,001,047,202,005",Bethel,84.5
2009,"9,001,730,702,009",Stamford,82.78
2008,"9,007,407,102,008",Killingworth,95.3
2004,"9,013,062,602,004",Bolton,90.6
2011,"9,005,027,602,011",Barkhamsted,77.55
2012,"9,009,445,602,012",Madison,88.11
2009,"9,001,188,502,009",Darien,94.21
2005,"9,005,049,302,005",Bethlehem,89.8
2009,"9,015,734,202,009",Sterling,65.15
2008,"9,011,423,902,008",Lebanon,100
2005,"9,003,059,102,005",Bloomfield,87.3
2011,"9,015,014,302,011",Ashford,95.83
2010,"9,013,062,602,010",Bolton,92.5
2012,"9,003,447,002,012",Manchester,68.25
2009,"9,007,191,302,009",Deep River,100
2004,"9,011,068,202,004",Bozrah,71.4
2009,"9,011,737,702,009",Stonington,79.62
2008,"9,011,426,002,008",Ledyard,82.6
2004,"9,009,073,102,004",Branford,80.6
2012,"9,013,449,102,012",Mansfield,74.1
2009,"9,009,195,502,009",Derby,66.17
2005,"9,013,062,602,005",Bolton,89.6
2009,"9,001,741,902,009",Stratford,63.87
2008,"9,011,432,302,008",Lisbon,85.4
2004,"9,001,080,702,004",Bridgeport,63.9
2011,"9,009,032,502,011",Beacon Falls,98.4
2010,"9,011,068,202,010",Bozrah,95.8
2009,"9,007,208,102,009",Durham,0
