Year,"CT County Subdivisions,Year",Town,"Kindergarteners with PreK Experience, Percent"
2008,"9,011,621,502,008",Preston,78.8
2004,"9,003,504,402,004",New Britain,44.8
2008,"9,009,622,902,008",Prospect,79.1
2012,"9,003,653,702,012",Rocky Hill,93.96
2005,"9,003,312,402,005",Glastonbury,90.7
2012,"9,005,659,302,012",Roxbury,92.16
2004,"9,001,505,802,004",New Canaan,99.3
2008,"9,015,627,102,008",Putnam,50
2005,"9,005,322,902,005",Goshen,88.3
2011,"9,009,475,352,011",Milford,80.96
2004,"9,001,508,602,004",New Fairfield,86
2008,"9,001,634,802,008",Redding,99.1
2012,"9,011,662,102,012",Salem,43.24
2005,"9,003,326,402,005",Granby,94.6
2011,"9,001,486,202,011",Monroe,93.97
2012,"9,005,664,202,012",Salisbury,88.24
2004,"9,005,513,502,004",New Hartford,88.5
2008,"9,001,639,702,008",Ridgefield,93.1
2005,"9,001,336,202,005",Greenwich,93.8
2012,"9,015,674,002,012",Scotland,90
2004,"9,009,520,702,004",New Haven,67.9
2008,"9,003,653,702,008",Rocky Hill,89.2
2005,"9,011,339,002,005",Griswold,79.8
2011,"9,011,489,002,011",Montville,70
2004,"9,011,523,502,004",New London,71.3
2008,"9,005,659,302,008",Roxbury,92.9
2012,"9,009,676,102,012",Seymour,75
2005,"9,011,342,502,005",Groton,72.4
2012,"9,005,679,602,012",Sharon,64.71
2004,"9,005,526,302,004",New Milford,60.7
2011,"9,005,494,602,011",Morris,95.16
2008,"9,011,662,102,008",Salem,92.1
2010,"9,009,538,902,010",North Branford,88
2005,"9,009,349,502,005",Guilford,89.7
2012,"9,001,681,702,012",Shelton,81.87
2004,"9,003,521,402,004",Newington,82
2008,"9,005,664,202,008",Salisbury,59.5
2011,"9,009,499,502,011",Naugatuck,72.15
2005,"9,007,352,302,005",Haddam,94.2
2012,"9,001,683,102,012",Sherman,82.5
2004,"9,001,529,802,004",Newtown,91.9
2008,"9,015,674,002,008",Scotland,93.8
2010,"9,011,555,002,010",North Stonington,87.9
2005,"9,009,356,502,005",Hamden,65.5
2011,"9,003,504,402,011",New Britain,77.64
2004,"9,005,534,702,004",Norfolk,100
2010,"9,001,560,602,010",Norwalk,85.1
2008,"9,009,676,102,008",Seymour,85.8
2012,"9,003,689,402,012",Simsbury,92
2005,"9,015,360,002,005",Hampton,88.9
2012,"9,013,692,202,012",Somers,85.29
2004,"9,009,538,902,004",North Branford,91.6
2011,"9,001,505,802,011",New Canaan,98.59
2008,"9,005,679,602,008",Sharon,73.7
2005,"9,003,370,702,005",Hartford,55.2
2012,"9,003,713,902,012",South Windsor,81.57
2004,"9,005,540,302,004",North Canaan,50
2008,"9,001,681,702,008",Shelton,88.7
2005,"9,003,371,402,005",Hartland,76.2
2010,"9,011,562,702,010",Norwich,73.9
2012,"9,009,696,402,012",Southbury,92.06
2004,"9,009,548,702,004",North Haven,84.6
2008,"9,001,683,102,008",Sherman,87.9
2005,"9,005,372,802,005",Harwinton,81.9
2011,"9,001,508,602,011",New Fairfield,94.29
2004,"9,011,555,002,004",North Stonington,84.9
2005,"9,005,540,302,005",North Canaan,85.4
2009,"9,011,342,502,009",Groton,70.42
2012,"9,003,705,502,012",Southington,79.05
2010,"9,013,859,502,010",Willington,74.5
2004,"9,001,560,602,004",Norwalk,86.6
2006,"9,005,534,702,006",Norfolk,93.3
2007,"9,003,870,002,007",Windsor,82.2
2010,"9,007,143,002,010",Chester,100
2005,"9,009,548,702,005",North Haven,81.3
2009,"9,009,349,502,009",Guilford,88.33
2011,"9,005,513,502,011",New Hartford,84.93
2007,"9,003,870,702,007",Windsor Locks,58.7
2011,"9,009,520,702,011",New Haven,71.56
2006,"9,009,538,902,006",North Branford,79.9
2010,"9,001,863,702,010",Wilton,99.6
2004,"9,011,562,702,004",Norwich,77.2
2009,"9,007,352,302,009",Haddam,0
2010,"9,007,153,502,010",Clinton,88.5
2004,"9,011,570,402,004",Old Lyme,81.4
2005,"9,011,555,002,005",North Stonington,91.8
2007,"9,009,875,602,007",Wolcott,91.9
2005,"9,001,560,602,005",Norwalk,81
2009,"9,009,356,502,009",Hamden,89.27
2006,"9,005,540,302,006",North Canaan,58.8
2004,"9,007,573,202,004",Old Saybrook,91.8
2006,"9,009,548,702,006",North Haven,86.5
2010,"9,009,141,602,010",Cheshire,92.3
2007,"9,009,877,002,007",Woodbridge,89.1
2005,"9,011,562,702,005",Norwich,65.8
2011,"9,011,523,502,011",New London,74.11
2007,"9,005,879,102,007",Woodbury,89.5
2004,"9,009,576,002,004",Orange,96.9
2009,"9,015,360,002,009",Hampton,100
2010,"9,005,160,502,010",Colebrook,93.3
2005,"9,011,570,402,005",Old Lyme,84.9
2009,"9,003,370,702,009",Hartford,35.01
2006,"9,011,555,002,006",North Stonington,79.4
2004,"9,009,583,002,004",Oxford,79.9
2006,"9,001,560,602,006",Norwalk,84.9
2011,"9,005,526,302,011",New Milford,81.04
2007,"9,015,881,902,007",Woodstock,94.7
2005,"9,007,573,202,005",Old Saybrook,92.9
2009,"9,003,371,402,009",Hartland,62.5
2010,"9,013,164,002,010",Columbia,88.1
2004,"9,015,599,802,004",Plainfield,60.8
2006,"9,011,562,702,006",Norwich,74.6
2008,"9,013,010,802,008",Andover,88.4
2005,"9,009,576,002,005",Orange,96.3
2009,"9,005,372,802,009",Harwinton,0
2008,"9,009,012,202,008",Ansonia,62.3
2004,"9,003,601,202,004",Plainville,81.3
2006,"9,011,570,402,006",Old Lyme,87.8
2010,"9,011,159,102,010",Colchester,90.7
2005,"9,009,583,002,005",Oxford,92.9
2009,"9,013,379,102,009",Hebron,97.3
2011,"9,003,521,402,011",Newington,90.39
2008,"9,015,014,302,008",Ashford,62.9
2010,"9,005,864,402,010",Winchester,94
2006,"9,007,573,202,006",Old Saybrook,93.8
2011,"9,001,529,802,011",Newtown,96.18
2004,"9,005,607,502,004",Plymouth,88.4
2009,"9,005,402,902,009",Kent,87.18
2008,"9,003,020,602,008",Avon,80.6
2010,"9,005,172,402,010",Cornwall,87.5
2004,"9,015,610,302,004",Pomfret,61.7
2005,"9,015,599,802,005",Plainfield,66.2
2011,"9,005,160,502,011",Colebrook,85.71
2005,"9,003,601,202,005",Plainville,83.4
2009,"9,015,405,002,009",Killingly,64.5
2010,"9,013,178,002,010",Coventry,87.8
2004,"9,007,618,002,004",Portland,77.4
2006,"9,009,583,002,006",Oxford,90.1
2011,"9,005,534,702,011",Norfolk,86.67
2006,"9,009,576,002,006",Orange,96.9
2009,"9,007,407,102,009",Killingworth,0
2008,"9,009,032,502,008",Beacon Falls,79.1
2008,"9,005,027,602,008",Barkhamsted,88.2
2004,"9,011,621,502,004",Preston,78
2005,"9,005,607,502,005",Plymouth,84.7
2011,"9,009,538,902,011",North Branford,93.71
2005,"9,015,610,302,005",Pomfret,68.4
2009,"9,011,423,902,009",Lebanon,89.77
2011,"9,013,164,002,011",Columbia,88.52
2006,"9,015,599,802,006",Plainfield,57.2
2004,"9,009,622,902,004",Prospect,94.4
2010,"92,010",Connecticut,80.5
2008,"9,003,043,002,008",Berlin,89.5
2011,"9,005,540,302,011",North Canaan,65.79
2005,"9,007,618,002,005",Portland,85.5
2009,"9,011,426,002,009",Ledyard,77.01
2006,"9,003,601,202,006",Plainville,87.3
2010,"9,001,185,002,010",Danbury,72.4
2004,"9,015,627,102,004",Putnam,64.2
2006,"9,005,607,502,006",Plymouth,88.6
2008,"9,009,045,802,008",Bethany,89.9
2005,"9,011,621,502,005",Preston,72.5
2009,"9,011,432,302,009",Lisbon,98
2011,"92,011",Connecticut,80.2
2011,"9,009,548,702,011",North Haven,93.58
2004,"9,001,634,802,004",Redding,98.6
2006,"9,015,610,302,006",Pomfret,57.1
2008,"9,001,047,202,008",Bethel,72.8
2005,"9,009,622,902,005",Prospect,83.1
2009,"9,005,433,702,009",Litchfield,87.78
2010,"9,001,188,502,010",Darien,91.7
2008,"9,005,049,302,008",Bethlehem,82.9
2004,"9,001,639,702,004",Ridgefield,91.6
2006,"9,007,618,002,006",Portland,89.7
2011,"9,011,555,002,011",North Stonington,83.33
2011,"9,005,172,402,011",Cornwall,80
2005,"9,015,627,102,005",Putnam,74.7
2009,"9,011,442,102,009",Lyme,96.61
2010,"9,007,191,302,010",Deep River,91.1
2010,"9,009,195,502,010",Derby,71.3
2004,"9,003,653,702,004",Rocky Hill,96.1
2010,"9,007,180,802,010",Cromwell,100
2008,"9,003,059,102,008",Bloomfield,85.4
2011,"9,001,560,602,011",Norwalk,85.56
2005,"9,001,634,802,005",Redding,92.8
2009,"9,009,445,602,009",Madison,97
2011,"9,013,178,002,011",Coventry,80
2010,"9,007,208,102,010",Durham,93.2
2004,"9,005,659,302,004",Roxbury,88.3
2006,"9,009,622,902,006",Prospect,93
2011,"9,007,180,802,011",Cromwell,96.23
2006,"9,011,621,502,006",Preston,82.2
2009,"9,003,447,002,009",Manchester,65.8
2010,"9,003,220,702,010",East Granby,75.4
2008,"9,013,062,602,008",Bolton,83.8
2004,"9,011,662,102,004",Salem,71.4
2005,"9,001,639,702,005",Ridgefield,87.1
2011,"9,001,185,002,011",Danbury,77.91
2011,"9,011,562,702,011",Norwich,77.17
2005,"9,003,653,702,005",Rocky Hill,81.9
2009,"9,013,449,102,009",Mansfield,90.52
2006,"9,015,627,102,006",Putnam,40.2
2008,"9,011,068,202,008",Bozrah,82.1
2004,"9,005,664,202,004",Salisbury,64.1
2006,"9,001,634,802,006",Redding,98.2
2011,"9,011,570,402,011",Old Lyme,95.05
2008,"9,009,073,102,008",Branford,87.4
2005,"9,005,659,302,005",Roxbury,90.5
2009,"9,003,458,202,009",Marlborough,89.8
2010,"9,007,222,802,010",East Haddam,80
2008,"9,001,080,702,008",Bridgeport,72.8
2006,"9,003,653,702,006",Rocky Hill,84.6
2006,"9,001,639,702,006",Ridgefield,86.6
2010,"9,007,224,902,010",East Hampton,88.8
2011,"9,007,573,202,011",Old Saybrook,95.12
2004,"9,015,674,002,004",Scotland,75
2009,"9,009,465,202,009",Meriden,75.22
2011,"9,001,188,502,011",Darien,95.26
2008,"9,005,082,102,008",Bridgewater,92.9
2004,"9,009,676,102,004",Seymour,75.8
2005,"9,011,662,102,005",Salem,87.9
2010,"9,003,226,302,010",East Hartford,71.9
2011,"9,007,191,302,011",Deep River,93.75
2005,"9,005,664,202,005",Salisbury,48.6
2009,"9,009,469,402,009",Middlebury,0
2011,"9,009,576,002,011",Orange,98.67
2004,"9,005,679,602,004",Sharon,68.4
2006,"9,005,659,302,006",Roxbury,91.1
2010,"9,009,229,102,010",East Haven,73.3
2008,"9,003,084,902,008",Bristol,86.5
2011,"9,009,195,502,011",Derby,63.36
2005,"9,015,674,002,005",Scotland,83.3
2009,"9,007,470,802,009",Middlefield,0
2008,"9,001,089,802,008",Brookfield,97.7
2004,"9,001,681,702,004",Shelton,90.7
2006,"9,011,662,102,006",Salem,57.8
2011,"9,009,583,002,011",Oxford,94.27
2010,"9,011,234,002,010",East Lyme,84.4
2005,"9,009,676,102,005",Seymour,73.2
2009,"9,007,473,602,009",Middletown,83.86
2008,"9,015,091,902,008",Brooklyn,100
2004,"9,001,683,102,004",Sherman,90
2006,"9,005,664,202,006",Salisbury,62.9
2011,"9,015,599,802,011",Plainfield,78.66
2005,"9,005,679,602,005",Sharon,47.8
2011,"9,007,208,102,011",Durham,89.6
2008,"9,003,101,002,008",Burlington,91.8
2010,"9,003,248,002,010",East Windsor,81.2
2006,"9,009,676,102,006",Seymour,76.6
2009,"9,009,475,352,009",Milford,82.52
2010,"9,015,218,602,010",Eastford,80
2004,"9,003,689,402,004",Simsbury,93.9
2011,"9,003,220,702,011",East Granby,81.48
2011,"9,003,601,202,011",Plainville,87.1
2006,"9,005,679,602,006",Sharon,44
2009,"9,001,486,202,009",Monroe,82.47
2008,"9,005,109,402,008",Canaan,90
2010,"9,001,238,902,010",Easton,98.9
2006,"9,015,674,002,006",Scotland,77.3
2009,"9,011,489,002,009",Montville,75.57
2005,"9,001,681,702,005",Shelton,87.3
2006,"9,001,681,702,006",Shelton,85.8
2004,"9,013,692,202,004",Somers,69.2
2011,"9,005,607,502,011",Plymouth,87.13
2008,"9,015,121,302,008",Canterbury,75.6
2010,"9,013,253,602,010",Ellington,79
2004,"9,003,713,902,004",South Windsor,81
2009,"9,005,494,602,009",Morris,85.79
2011,"9,007,222,802,011",East Haddam,87.65
2005,"9,001,683,102,005",Sherman,86.7
2006,"9,001,683,102,006",Sherman,96.1
2005,"9,003,689,402,005",Simsbury,93.4
2008,"9,003,122,702,008",Canton,93.7
2011,"9,015,610,302,011",Pomfret,78.72
2004,"9,009,696,402,004",Southbury,92.1
2010,"9,015,867,902,010",Windham,77.8
2008,"9,015,138,102,008",Chaplin,87
2010,"9,003,259,902,010",Enfield,73.4
2011,"9,007,224,902,011",East Hampton,86.03
2009,"9,009,499,502,009",Naugatuck,75.36
2006,"9,003,689,402,006",Simsbury,89.3
2010,"9,007,262,702,010",Essex,85.7
2011,"9,007,618,002,011",Portland,96.43
2006,"9,013,692,202,006",Somers,79.4
2004,"9,003,705,502,004",Southington,83.2
2008,"9,009,141,602,008",Cheshire,97
2005,"9,013,692,202,005",Somers,81.4
2010,"9,001,266,202,010",Fairfield,94.2
2009,"9,003,504,402,009",New Britain,77
2005,"9,003,713,902,005",South Windsor,91.3
2005,"9,003,705,502,005",Southington,90
2011,"9,003,226,302,011",East Hartford,71.08
2011,"9,011,621,502,011",Preston,38.71
2008,"9,007,143,002,008",Chester,93.3
2006,"9,003,713,902,006",South Windsor,85.7
2010,"9,003,276,002,010",Farmington,80.9
2009,"9,001,505,802,009",New Canaan,98.09
2004,"9,011,716,702,004",Sprague,83.3
2005,"9,011,716,702,005",Sprague,75
2011,"9,009,229,102,011",East Haven,68.18
2008,"9,007,153,502,008",Clinton,84.8
2005,"9,009,696,402,005",Southbury,88.9
2002,"9,003,101,002,002",Burlington,
2002,"9,011,716,702,002",Sprague,
2002,"9,007,262,702,002",Essex,
2002,"9,011,555,002,002",North Stonington,
2002,"9,003,220,702,002",East Granby,
2002,"9,003,259,902,002",Enfield,
2002,"9,007,208,102,002",Durham,
2002,"9,015,091,902,002",Brooklyn,
2002,"9,003,705,502,002",Southington,
2002,"9,009,548,702,002",North Haven,
2002,"9,009,195,502,002",Derby,
2002,"9,013,253,602,002",Ellington,
2002,"9,007,191,302,002",Deep River,
2002,"9,001,238,902,002",Easton,
2002,"9,001,089,802,002",Brookfield,
2002,"9,009,696,402,002",Southbury,
2000,"910,000,000,000,962,000",Priority School Districts,
2002,"9,003,084,902,002",Bristol,
2002,"9,015,218,602,002",Eastford,
2002,"9,005,540,302,002",North Canaan,
2002,"9,001,188,502,002",Darien,
2002,"9,005,082,102,002",Bridgewater,
2002,"9,001,185,002,002",Danbury,
2002,"9,003,713,902,002",South Windsor,
2002,"9,001,080,702,002",Bridgeport,
2002,"9,007,180,802,002",Cromwell,
2002,"9,009,538,902,002",North Branford,
2002,"9,009,073,102,002",Branford,
2002,"9,013,692,202,002",Somers,
2002,"9,009,583,002,002",Oxford,
2002,"9,005,494,602,002",Morris,
2002,"9,005,757,302,002",Thomaston,
2002,"9,009,576,002,002",Orange,
2002,"9,007,573,202,002",Old Saybrook,
2000,"910,000,000,000,962,000",Priority School Districts,
2002,"9,011,489,002,002",Montville,
2002,"9,003,745,402,002",Suffield,
2002,"9,011,570,402,002",Old Lyme,
2002,"9,001,486,202,002",Monroe,
2002,"9,011,562,702,002",Norwich,
2002,"9,001,560,602,002",Norwalk,
2002,"9,003,248,002,002",East Windsor,
2002,"9,005,402,902,002",Kent,
2002,"9,011,234,002,002",East Lyme,
2002,"9,013,762,902,002",Tolland,
2002,"9,013,379,102,002",Hebron,
2002,"9,015,758,702,002",Thompson,
2002,"9,005,372,802,002",Harwinton,
2002,"9,003,371,402,002",Hartland,
2002,"9,009,229,102,002",East Haven,
2002,"9,003,370,702,002",Hartford,
2002,"9,003,226,302,002",East Hartford,
2002,"9,015,360,002,002",Hampton,
2002,"9,009,356,502,002",Hamden,
2002,"9,007,352,302,002",Haddam,
2002,"9,009,349,502,002",Guilford,
2002,"9,011,342,502,002",Groton,
2002,"9,007,224,902,002",East Hampton,
2002,"9,007,222,802,002",East Haddam,
2002,"9,001,863,702,002",Wilton,
2002,"9,009,475,352,002",Milford,
2002,"9,011,068,202,002",Bozrah,
2002,"9,013,859,502,002",Willington,
2002,"9,013,062,602,002",Bolton,
2002,"9,007,153,502,002",Clinton,
2002,"9,007,473,602,002",Middletown,
2002,"9,003,849,002,002",Wethersfield,
2002,"9,007,143,002,002",Chester,
2002,"9,001,834,302,002",Weston,
2002,"9,001,835,002,002",Westport,
2002,"9,003,059,102,002",Bloomfield,
2002,"9,007,816,802,002",Westbrook,
2002,"9,005,049,302,002",Bethlehem,
2002,"9,009,828,702,002",West Haven,
2002,"9,003,825,902,002",West Hartford,
2002,"9,001,047,202,002",Bethel,
2002,"9,009,141,602,002",Cheshire,
2002,"9,007,470,802,002",Middlefield,
2002,"9,005,804,902,002",Watertown,
2002,"9,009,045,802,002",Bethany,
2002,"9,011,802,802,002",Waterford,
2002,"9,015,138,102,002",Chaplin,
2002,"9,003,043,002,002",Berlin,
2002,"9,009,800,702,002",Waterbury,
2002,"9,009,032,502,002",Beacon Falls,
2002,"9,005,797,202,002",Washington,
2012,"9,013,778,302,012",Union,
2002,"9,005,027,602,002",Barkhamsted,
2002,"9,009,469,402,002",Middlebury,
2002,"9,003,122,702,002",Canton,
2002,"9,009,787,402,002",Wallingford,
2002,"9,005,795,102,002",Warren,
2002,"9,011,786,002,002",Voluntown,
2002,"9,013,782,502,002",Vernon,
2002,"9,009,465,202,002",Meriden,
2002,"9,013,778,302,002",Union,
2002,"9,015,121,302,002",Canterbury,
2002,"9,003,458,202,002",Marlborough,
2002,"9,003,020,602,002",Avon,
2002,"9,005,109,402,002",Canaan,
2002,"9,015,014,302,002",Ashford,
2002,"9,013,449,102,002",Mansfield,
2002,"9,003,447,002,002",Manchester,
2002,"9,001,772,002,002",Trumbull,
2002,"9,011,339,002,002",Griswold,
2002,"9,005,526,302,002",New Milford,
2002,"9,001,336,202,002",Greenwich,
2002,"9,003,326,402,002",Granby,
2002,"9,009,012,202,002",Ansonia,
2002,"9,013,010,802,002",Andover,
2002,"9,009,445,602,002",Madison,
2002,"9,011,523,502,002",New London,
2002,"9,005,322,902,002",Goshen,
2002,"9,009,520,702,002",New Haven,
2002,"9,001,730,702,002",Stamford,
2002,"9,011,442,102,002",Lyme,
2002,"9,005,433,702,002",Litchfield,
2002,"9,005,513,502,002",New Hartford,
2002,"9,003,312,402,002",Glastonbury,
2002,"9,009,676,102,002",Seymour,
2002,"9,001,508,602,002",New Fairfield,
2002,"9,003,689,402,002",Simsbury,
2002,"9,011,432,302,002",Lisbon,
2002,"9,011,426,002,002",Ledyard,
2002,"9,011,299,102,002",Franklin,
2002,"9,003,276,002,002",Farmington,
2002,"9,011,423,902,002",Lebanon,
2002,"9,013,720,902,002",Stafford,
2002,"9,015,674,002,002",Scotland,
2002,"9,001,505,802,002",New Canaan,
2002,"9,001,266,202,002",Fairfield,
2002,"9,007,407,102,002",Killingworth,
2002,"9,005,664,202,002",Salisbury,
2002,"9,003,504,402,002",New Britain,
2002,"9,015,405,002,002",Killingly,
2002,"9,009,499,502,002",Naugatuck,
2002,"9,011,662,102,002",Salem,
2002,"9,005,765,702,002",Torrington,
2002,"9,015,881,902,002",Woodstock,
2002,"9,005,879,102,002",Woodbury,
2002,"9,009,877,002,002",Woodbridge,
2002,"9,009,875,602,002",Wolcott,
2002,"9,003,870,702,002",Windsor Locks,
2002,"9,003,870,002,002",Windsor,
2002,"9,015,867,902,002",Windham,
2012,"92,012",Connecticut,
2002,"9,005,864,402,002",Winchester,
2002,"9,013,178,002,002",Coventry,
2002,"9,001,683,102,002",Sherman,
2002,"9,009,622,902,002",Prospect,
2002,"9,011,621,502,002",Preston,
2002,"9,001,681,702,002",Shelton,
2002,"9,005,172,402,002",Cornwall,
2002,"9,005,534,702,002",Norfolk,
2002,"9,007,618,002,002",Portland,
2000,"910,000,000,000,962,000",Priority School Districts,
2002,"9,015,610,302,002",Pomfret,
2002,"9,005,679,602,002",Sharon,
2002,"9,005,607,502,002",Plymouth,
2002,"92,002",Connecticut,
2002,"9,013,164,002,002",Columbia,
2002,"9,003,601,202,002",Plainville,
2002,"9,001,529,802,002",Newtown,
2002,"9,005,160,502,002",Colebrook,
2002,"9,011,159,102,002",Colchester,
2002,"9,015,599,802,002",Plainfield,
2000,"910,000,000,000,962,000",Priority School Districts,
2002,"9,003,521,402,002",Newington,
2000,"910,000,000,000,962,000",Priority School Districts,
2002,"9,005,659,302,002",Roxbury,
2000,"910,000,000,000,962,000",Priority School Districts,
2002,"9,001,741,902,002",Stratford,
2002,"9,003,653,702,002",Rocky Hill,
2002,"9,001,639,702,002",Ridgefield,
2002,"9,001,634,802,002",Redding,
2002,"9,011,737,702,002",Stonington,
2002,"9,015,734,202,002",Sterling,
2002,"9,015,627,102,002",Putnam,
2000,"910,000,000,000,962,000",Priority School Districts,
